scenario,month,communities,reachable_accounts,cumulative_joined,new_joined,active_members,activated_accounts,new_activations,paid_members,eligible_kwh,baseline_cost,offer_cost,gross_savings,savings_fee,community_allocation,retained_savings,upgrade_revenue,net_member_benefit,matching_revenue,dashboard_revenue,referral_revenue,sponsorship_revenue,recurring_revenue,total_revenue,variable_cost,contribution,fixed_opex,operating_result,cumulative_cash_proxy
downside,1,1.0,150.0,3.75,3.75,3.75,0.19,0.19,0.11,37.5,375.0,382.5,-7.5,0.0,0.0,-7.5,8.89,-16.39,37.5,0.0,0.0,0.0,8.89,46.39,112.77,-66.38,65000.0,-65066.38,-765066.38
downside,2,1.0,150.0,7.5,3.75,7.35,0.37,0.19,0.22,73.5,735.0,749.7,-14.7,0.0,0.0,-14.7,17.42,-32.12,37.5,0.0,0.0,0.0,17.42,54.92,221.02,-166.1,65000.0,-65166.1,-830232.48
downside,3,1.0,150.0,11.25,3.75,10.81,0.54,0.19,0.32,108.06,1080.6,1102.21,-21.61,0.0,0.0,-21.61,25.61,-47.22,37.5,0.0,0.0,0.0,25.61,63.11,324.95,-261.84,65000.0,-65261.84,-895494.32
downside,4,1.0,150.0,15.0,3.75,14.12,0.71,0.19,0.42,141.24,1412.38,1440.62,-28.25,0.0,0.0,-28.25,33.47,-61.72,37.5,0.0,0.0,0.0,33.47,70.97,424.72,-353.74,65000.0,-65353.74,-960848.06
downside,5,1.0,150.0,18.75,3.75,17.31,0.87,0.19,0.52,173.09,1730.88,1765.5,-34.62,0.0,0.0,-34.62,41.02,-75.64,37.5,0.0,0.0,0.0,41.02,78.52,520.49,-441.97,65000.0,-65441.97,-1026290.04
downside,6,1.0,150.0,22.5,3.75,20.37,1.02,0.19,0.61,203.66,2036.65,2077.38,-40.73,0.0,0.0,-40.73,48.27,-89.0,37.5,0.0,0.0,0.0,48.27,85.77,612.44,-526.67,65000.0,-65526.67,-1091816.71
downside,7,1.0,150.0,26.25,3.75,23.3,1.17,0.19,0.7,233.02,2330.18,2376.78,-46.6,0.0,0.0,-46.6,55.23,-101.83,37.5,0.0,0.0,0.0,55.23,92.73,700.71,-607.99,65000.0,-65607.99,-1157424.7
downside,8,1.0,150.0,30.0,3.75,26.12,1.31,0.19,0.78,261.2,2611.97,2664.21,-52.24,0.0,0.0,-52.24,61.9,-114.14,37.5,0.0,0.0,0.0,61.9,99.4,785.45,-686.05,65000.0,-65686.05,-1223110.74
downside,9,1.0,150.0,30.0,0.0,25.07,1.25,0.0,0.75,250.75,2507.49,2557.64,-50.15,0.0,0.0,-50.15,59.43,-109.58,0.0,0.0,0.0,0.0,59.43,59.43,754.03,-694.6,65000.0,-65694.6,-1288805.34
downside,10,1.0,150.0,30.0,0.0,24.07,1.2,0,0.72,240.72,2407.19,2455.34,-48.14,0.0,0.0,-48.14,57.05,-105.19,0.0,0.0,0.0,0.0,57.05,57.05,723.87,-666.82,65000.0,-65666.82,-1354472.16
downside,11,1.0,150.0,30.0,0.0,23.11,1.16,0.0,0.69,231.09,2310.91,2357.12,-46.22,0.0,0.0,-46.22,54.77,-100.99,0.0,0.0,0.0,0.0,54.77,54.77,694.91,-640.15,65000.0,-65640.15,-1420112.31
downside,12,1.0,150.0,30.0,0.0,22.18,1.11,0.0,0.67,221.85,2218.47,2262.84,-44.37,0.0,0.0,-44.37,52.58,-96.95,0.0,0.0,0.0,0.0,52.58,52.58,667.12,-614.54,65000.0,-65614.54,-1485726.85
base,1,2.0,500.0,33.33,33.33,33.33,6.67,6.67,2.67,2000.0,20000.0,18800.0,1200.0,0.0,0.0,1200.0,264.0,936.0,3333.33,0.0,0.0,0.0,264.0,3597.33,674.59,2922.75,50000.0,-47077.25,-597077.25
base,2,2.0,500.0,66.67,33.33,66.0,13.2,6.67,5.28,3960.0,39600.0,37224.0,2376.0,0.0,0.0,2376.0,522.72,1853.28,3333.33,0.0,0.0,0.0,522.72,3856.05,1335.68,2520.37,50000.0,-47479.63,-644556.88
base,3,2.0,500.0,100.0,33.33,98.01,19.6,6.67,7.84,5880.8,58808.0,55279.52,3528.48,0.0,0.0,3528.48,776.27,2752.21,3333.33,0.0,0.0,0.0,776.27,4109.6,1983.55,2126.04,50000.0,-47873.96,-692430.84
base,4,2.0,500.0,133.33,33.33,129.39,25.88,6.67,10.35,7763.18,77631.84,72973.93,4657.91,0.0,0.0,4657.91,1024.74,3633.17,3333.33,0.0,0.0,0.0,1024.74,4358.07,2618.47,1739.6,50000.0,-48260.4,-740691.23
base,5,2.0,500.0,166.67,33.33,160.13,32.03,6.67,12.81,9607.92,96079.2,90314.45,5764.75,0.0,0.0,5764.75,1268.25,4496.51,3333.33,0.0,0.0,0.0,1268.25,4601.58,3240.69,1360.89,50000.0,-48639.11,-789330.34
base,6,2.0,500.0,200.0,33.33,190.26,38.05,6.67,15.22,11415.76,114157.62,107308.16,6849.46,0.0,0.0,6849.46,1506.88,5342.58,3333.33,0.0,0.0,0.0,1506.88,4840.21,3850.46,989.75,50000.0,-49010.25,-838340.59
base,7,2.0,500.0,200.0,0.0,186.46,37.29,0.0,14.92,11187.45,111874.47,105162.0,6712.47,0.0,0.0,6712.47,1476.74,5235.73,0.0,0.0,0.0,0.0,1476.74,1476.74,3773.45,-2296.71,50000.0,-52296.71,-890637.3
base,8,2.0,500.0,200.0,0.0,182.73,36.55,0.0,14.62,10963.7,109636.98,103058.76,6578.22,0.0,0.0,6578.22,1447.21,5131.01,0.0,0.0,0.0,0.0,1447.21,1447.21,3697.98,-2250.77,50000.0,-52250.77,-942888.07
base,9,2.0,500.0,200.0,0.0,179.07,35.81,0.0,14.33,10744.42,107444.24,100997.58,6446.65,0.0,0.0,6446.65,1418.26,5028.39,0.0,0.0,0.0,0.0,1418.26,1418.26,3624.02,-2205.76,50000.0,-52205.76,-995093.83
base,10,2.0,500.0,200.0,0.0,175.49,35.1,0.0,14.04,10529.54,105295.35,98977.63,6317.72,0.0,0.0,6317.72,1389.9,4927.82,0.0,0.0,0.0,0.0,1389.9,1389.9,3551.54,-2161.64,50000.0,-52161.64,-1047255.47
base,11,2.0,500.0,200.0,0.0,171.98,34.4,0.0,13.76,10318.94,103189.45,96998.08,6191.37,0.0,0.0,6191.37,1362.1,4829.27,0.0,0.0,0.0,0.0,1362.1,1362.1,3480.51,-2118.41,50000.0,-52118.41,-1099373.88
base,12,2.0,500.0,200.0,0.0,168.54,33.71,0.0,13.48,10112.57,101125.66,95058.12,6067.54,0.0,0.0,6067.54,1334.86,4732.68,0.0,0.0,0.0,0.0,1334.86,1334.86,3410.9,-2076.04,50000.0,-52076.04,-1151449.93
upside,1,3.0,1050.0,157.5,157.5,157.5,66.15,66.15,18.9,26460.0,264600.0,238140.0,26460.0,0.0,0.0,26460.0,2816.1,23643.9,52920.0,0.0,0.0,0.0,2816.1,55736.1,2446.98,53289.12,45000.0,8289.12,-391710.88
upside,2,3.0,1050.0,315.0,157.5,313.43,131.64,66.15,37.61,52655.4,526554.0,473898.6,52655.4,0.0,0.0,52655.4,5604.04,47051.36,52920.0,0.0,0.0,0.0,5604.04,58524.04,4869.5,53654.54,45000.0,8654.54,-383056.34
upside,3,3.0,1050.0,472.5,157.5,467.79,196.47,66.15,56.13,78588.85,785888.46,707299.61,78588.85,0.0,0.0,78588.85,8364.1,70224.75,52920.0,0.0,0.0,0.0,8364.1,61284.1,7267.78,54016.31,45000.0,9016.31,-374040.03
upside,4,3.0,1050.0,630.0,157.5,620.61,260.66,66.15,74.47,104262.96,1042629.58,938366.62,104262.96,0.0,0.0,104262.96,11096.56,93166.4,52920.0,0.0,0.0,0.0,11096.56,64016.56,9642.09,54374.47,45000.0,9374.47,-364665.56
upside,5,3.0,1050.0,630.0,0.0,614.41,258.05,0.0,73.73,103220.33,1032203.28,928982.95,103220.33,0.0,0.0,103220.33,10985.59,92234.74,0.0,0.0,0.0,0.0,10985.59,10985.59,9545.67,1439.92,45000.0,-43560.08,-408225.63
